Id,Sales
1,3896.915
857,4082.1492
1713,4324.838
2569,4885.9688
3425,5662.693
4281,4012.9617
5137,3447.826
5993,3250.954
6849,3386.5266
7705,3545.7776
8561,3840.2913
9417,4444.284
10273,4047.7783
11129,4780.4487
11985,4891.089
12841,4924.6313
13697,4958.068
14553,5339.5864
15409,5659.102
16265,4279.23
17121,3765.1428
17977,3290.9663
18833,3343.5215
19689,3300.6152
20545,3593.6074
21401,5056.5186
22257,3675.9814
23113,3933.3093
23969,4125.476
24825,4123.4697
25681,4481.7
26537,4902.341
27393,5651.388
28249,4065.7805
29105,3630.216
29961,3505.5063
30817,3239.9229
31673,3378.1406
32529,3795.8901
33385,5202.129
34241,3920.4233
35097,4231.079
35953,4329.1763
36809,4825.019
37665,4916.3286
38521,5399.145
39377,6152.165
40233,5110.438
2,7283.5767
858,8002.595
1714,8779.377
2570,9908.642
3426,4429.4585
4282,3947.318
5138,5572.8384
5994,5643.7065
6850,5825.2554
7706,6053.252
8562,5992.5356
9418,3735.403
10274,4350.1055
11130,7569.4067
11986,8450.168
12842,9538.693
13698,9685.087
14554,12487.527
15410,4135.421
16266,4371.253
17122,6123.3677
17978,5381.0166
18834,5540.9775
19690,5455.7285
20546,5756.713
21402,3981.9336
22258,3618.5852
23114,6964.0464
23970,7473.0786
24826,8106.8687
25682,8623.413
26538,9945.871
27394,4220.0264
28250,3957.815
29106,5895.952
29962,5732.8823
30818,5796.727
31674,5741.633
32530,5934.154
33386,4549.293
34242,4113.232
35098,7386.644
35954,7360.706
36810,8164.111
37666,8490.87
38522,9294.682
39378,5469.0566
40234,5665.167
3,7993.9976
859,8265.8125
1715,9916.422
2571,11407.821
3427,3644.0874
4283,5864.979
5139,7603.423
5995,6987.54
6851,6884.234
7707,7631.6494
8563,8342.959
9419,3520.1938
10275,6223.9785
11131,8754.1
11987,9524.157
12843,10547.617
13699,11996.049
14555,13748.36
15411,4536.475
16267,6846.5024
17123,8637.094
17979,7417.6665
18835,7447.633
19691,7780.676
20547,8144.4336
21403,4074.4658
22259,6129.4214
23115,9769.392
23971,9206.83
24827,9293.388
25683,11570.962
26539,13120.8955
27395,4384.211
28251,6432.5474
29107,9536.9375
29963,8501.956
30819,7979.509
31675,8592.944
32531,9014.718
33387,4315.158
34243,6534.1353
35099,10056.808
35955,9633.486
36811,9744.536
37667,11562.137
38523,13665.7
39379,5215.902
40235,8499.6045
4,6707.934
860,6575.2173
1716,7266.133
2572,9042.032
3428,4423.724
4284,3392.3433
5140,4929.256
5996,5325.106
6852,4959.2505
7708,5224.94
8564,5799.885
9420,3720.8398
10276,3387.748
11132,6026.8774
11988,7573.1763
12844,7712.8765
13700,8265.387
14556,10625.638
15412,5031.6963
16268,3907.9114
17124,5348.2573
17980,5413.7754
18836,5238.0186
19692,5200.2583
20548,5623.9956
21404,4589.1953
22260,3250.25
23116,5906.94
23972,6957.792
24828,6568.428
25684,7202.033
26540,9025.093
27396,4538.3965
28252,3442.19
29108,5238.748
29964,5643.012
30820,5070.636
31676,5011.6504
32532,5500.3047
33388,4374.3022
34244,3324.039
35100,6316.318
35956,7080.3784
36812,7023.167
37668,7463.149
38524,8909.316
39380,5104.991
40236,4450.3887
5,6823.4243
861,7142.803
1717,8124.8276
2573,10356.728
3429,5757.3335
4285,6041.704
5141,6037.3203
5997,5699.079
6853,5762.1626
7709,6274.094
8565,7215.131
9421,5288.594
10277,6460.494
11133,7899.135
11989,8371.231
12845,9176.016
13701,9452.483
14557,10819.357
15413,5549.5254
16269,6568.585
17125,6247.252
17981,5537.982
18837,6020.3677
19693,6302.9814
20549,7498.7974
21405,5549.721
22261,5869.8594
23117,7115.692
23973,7362.7285
24829,7781.4106
25685,8625.47
26541,11304.321
27397,5819.6797
28253,6285.0493
29109,6516.236
29965,5975.008
30821,5903.9263
31677,5868.7847
32533,6809.862
33389,5800.776
34245,6084.987
35101,7572.837
35957,7393.763
36813,7826.928
37669,8458.86
38525,10865.748
39381,6397.6763
40237,7593.414
6,5370.546
862,5537.39
1718,6147.989
2574,7380.841
3430,6638.277
4286,4649.672
5142,4964.3335
5998,4714.2676
6854,4766.6567
7710,4994.6274
8566,5675.1675
9422,5253.575
10278,4473.005
11134,5598.396
11990,6101.161
12846,6305.621
13702,6329.1934
14558,7126.831
15414,5733.6313
16270,4610.4185
17126,5025.5425
17982,4519.518
18838,4798.124
19694,4695.2397
20550,5316.686
21406,6341.7207
22262,4332.9727
23118,5383.157
23974,5474.098
24830,5484.9434
25686,6000.949
26542,7211.1543
27398,7067.114
28254,4924.3545
29110,5306.0874
29966,4903.599
30822,4666.717
31678,4768.781
32534,5515.7456
33390,6341.4
34246,4636.9116
35102,5769.571
35958,5696.8345
36814,5827.2007
37670,6357.0186
38526,7464.11
39382,7464.2524
40238,5746.5747
7,7215.5093
863,7976.0845
1719,7948.115
2575,9207.56
3431,4402.39
4287,5380.5547
5143,6015.471
5999,6240.903
6855,6537.2837
7711,6483.4146
8567,6797.726
9423,4002.5784
10279,5547.911
11135,7154.8174
11991,8354.815
12847,9573.491
13703,9054.243
14559,11256.702
15415,4829.6465
16271,6200.502
17127,6453.522
17983,6195.908
18839,6546.824
19695,6123.7705
20551,6399.22
21407,4860.51
22263,5271.1187
23119,6930.999
23975,7529.5005
24831,8145.4595
25687,8019.8945
26543,9482.372
27399,4929.646
28255,5625.5674
29111,6363.018
29967,6447.1973
30823,6739.86
31679,6504.977
32535,6718.7173
33391,4742.9814
34247,5276.758
35103,7108.6436
35959,7567.9556
36815,8346.2295
37671,8086.4736
38527,9616.88
39383,5502.7866
40239,6629.2666
8,7535.6436
864,8124.8354
1720,8942.919
2576,10668.837
3432,6105.737
4288,5701.885
